models/lightgbm/boosting_type,models/lightgbm/learning_rate,models/lightgbm/n_estimators,models/lightgbm/num_leaves,preproc/rmf/pca/model/kernel,preproc/rmf/pca/model/n_components,Accuracy,SD on test folds
gbdt,0.1,500,127,sigmoid,10,0.4747265154212535,0.02412736487231869
gbdt,0.1,500,127,sigmoid,25,0.46323429918226644,0.03729212638652752
gbdt,0.1,1000,31,linear,3,0.44299285746639433,0.05070301737108904
gbdt,0.1,1000,31,linear,10,0.42793074195197117,0.05088779648255648
gbdt,0.1,1000,31,linear,25,0.39934132211412776,0.03600670459885766
gbdt,0.1,1000,31,sigmoid,3,0.47567499057878776,0.021308386408841074
gbdt,0.1,1000,31,sigmoid,10,0.47056149608795544,0.019577766316087264
gbdt,0.1,1000,31,sigmoid,25,0.4725028449295342,0.03321581951050677
gbdt,0.1,1000,63,linear,3,0.4429245548334816,0.050140950880691024
gbdt,0.1,1000,63,linear,10,0.4402511845036338,0.04557316045583325
gbdt,0.1,1000,63,linear,25,0.39416648263288784,0.03524856248074929
gbdt,0.1,1000,63,sigmoid,3,0.47907935078632546,0.019695275294335294
gbdt,0.1,1000,63,sigmoid,10,0.46900813850909157,0.02163347727733408
gbdt,0.1,1000,63,sigmoid,25,0.46653805362136797,0.03068950450648299
gbdt,0.1,1000,127,linear,3,0.4404140759656688,0.052289214779428134
gbdt,0.1,1000,127,linear,10,0.45019488241757416,0.044581591218386674
gbdt,0.1,1000,127,linear,25,0.3979892780971893,0.03405632532650488
gbdt,0.1,1000,127,sigmoid,3,0.47694497293920135,0.0213874906375772
gbdt,0.1,1000,127,sigmoid,10,0.47211071120910814,0.022789166438514953
gbdt,0.1,1000,127,sigmoid,25,0.4634052345362457,0.03954139380509718
